Tag;Uhrzeit;Raumfeuchte;Raumfuehler;Temp_Regler;Zuluftfeuchte;Zulufttemperat;Aussentemperat;u_Aussenfeuchte
06.01.2021;01:30:00;40.1938;21.9227;22;56.25;18.875;0.0656;100
06.01.2021;01:45:00;39.9438;21.9891;22;55.1562;19.2187;0.175;100
06.01.2021;02:00:00;40.8656;21.9648;22;65.7188;23.5781;0.1094;100
06.01.2021;02:15:00;42.7094;22.0406;22;62.2812;23.3281;0.2406;99.7187
06.01.2021;02:30:00;42.1625;22.0008;22;55.625;21.6562;0.3281;99.125
06.01.2021;02:45:00;41.2563;22;22;49.4688;20.25;0.3281;98.5937
06.01.2021;03:00:00;40.475;21.9398;22;39.9687;25.1563;0.1312;98.4688
06.01.2021;03:15:00;39.8344;21.9039;22;53.8438;24.25;-0.0219;98.75
06.01.2021;03:30:00;40.9438;21.9469;22;61.5312;23.8594;-0.1094;98.9375
06.01.2021;03:45:00;43.0531;21.9875;22;52.3125;26.3906;-0.3719;99.5312
06.01.2021;04:00:00;42.1625;22.0273;22;49.3437;23.2031;-0.2406;99.625
06.01.2021;04:15:00;41.3656;22.0352;22;44.5312;22.4062;-0.2187;99.4062
06.01.2021;04:30:00;40.5063;22.0148;22;38.0937;25.625;-0.2844;99.3125
06.01.2021;04:45:00;39.8813;21.9383;22;46.0937;26.2031;-0.0656;98.5313
06.01.2021;05:00:00;40.0688;21.9422;22;56.4375;23.2031;-0.1531;98.4375
06.01.2021;05:15:00;42.0219;21.9531;22;57.2187;25.875;-0.2625;98.125
06.01.2021;05:30:00;42.2875;22.0141;22;48.375;24.75;-0.5031;98.0312
06.01.2021;05:45:00;41.5375;22.0055;22;42.1562;26.3438;-0.4594;98.1562
06.01.2021;06:00:00;40.5531;21.957;22;39.1875;27.9219;-0.4594;97.5313
06.01.2021;06:15:00;39.8031;21.95;22;50.1875;22.9219;-0.5031;97.6562
06.01.2021;06:30:00;40.2719;21.9367;22;54.625;22.9844;-0.35;97.2813
06.01.2021;06:45:00;42.1938;21.925;22;53.1875;25.9531;-0.4594;97.2813
06.01.2021;07:00:00;41.8813;21.9563;22;44.8125;25.6563;-0.6125;97.0312
06.01.2021;07:15:00;40.8813;21.9602;22;43.5625;25.8906;-0.7438;97.3437
06.01.2021;07:30:00;40.1781;21.9359;22;46.125;24.0469;-0.8969;97.0937
06.01.2021;07:45:00;40.3344;21.9031;22;52;24.0781;-0.8094;96.7812
06.01.2021;08:00:00;41.1156;21.9039;22;53.0625;25.5;-0.7875;96.9375
06.01.2021;08:15:00;41.6625;21.9156;22;49.1563;25.4688;-0.7656;96.3125
